ID,ILLUM,HUMID,CO2,SOUND,TEMP,RYTHM
0,337.9,63.29,518.13,22.38,18.59,76.97808834138428
1,342.96,63.19,488.85,37.36,20.41,80.68737629048263
2,369.86,57.39,516.86,26.45,20.89,80.67235070840039
3,304.65,67.8,517.5,32.98,22.52,83.35928342779616
4,442.25,68.21,500.91,37.28,21.88,83.78183102895744
5,736.84,66.18,540.48,24.58,22.51,86.32961017091043
6,460.0,59.88,460.3,49.72,18.76,80.7629295969665
7,394.64,64.34,519.61,35.99,19.51,81.25217941212208
8,430.41,65.21,512.5,31.24,20.32,81.22676085304087
9,432.9,63.51,412.19,38.55,20.8,78.45717985298657
10,408.16,71.85,538.17,36.91,20.73,83.85845003698569
11,392.64,74.98,454.5,24.66,21.12,77.80519608261011
12,284.79,64.23,518.91,19.08,21.03,78.7987408008637
13,444.47,68.55,461.97,21.22,23.58,80.79772097746701
14,397.99,64.42,518.99,27.85,21.56,82.06327281713529
15,359.74,73.42,464.84,26.35,19.23,76.14281927438262
16,393.78,69.13,477.95,30.23,19.65,78.29707909726562
17,477.04,67.07,415.8,24.18,19.42,74.5612299946539
18,446.17,62.14,519.08,36.81,22.01,84.74069172625556
19,334.03,73.59,567.12,32.39,18.29,80.88728386865495
20,390.99,62.29,463.81,31.64,21.92,80.5387619066449
21,379.24,70.2,466.4,31.76,18.57,76.65993147533264
22,346.23,67.93,474.49,24.74,19.98,77.05759639196967
23,385.8,66.51,513.31,31.5,19.09,79.50907616852868
24,447.93,65.34,546.72,40.63,19.49,83.86349769310658
25,303.87,65.15,404.05,42.79,17.86,74.39570578874893
26,540.21,68.05,493.24,32.5,19.77,80.80622936546163
27,291.4,65.93,425.79,36.36,22.31,79.2933690860794
28,620.03,68.95,526.59,26.17,18.71,80.56680760737584
29,539.9,71.64,385.9,27.98,20.33,75.45949360204096
30,501.58,73.71,471.35,28.08,21.27,80.34264994081195
31,408.14,64.46,528.47,34.98,18.87,80.83655662579079
32,510.28,69.13,483.31,31.45,21.64,82.07681282785046
33,420.26,62.21,542.06,31.78,18.16,80.12486471109
34,562.05,66.58,529.8,27.36,18.32,80.02159787675635
35,460.19,76.4,508.85,23.91,18.94,78.24389581107623
36,593.98,64.49,528.8,36.1,16.84,80.20730373475823
37,487.84,64.82,489.65,25.97,21.69,81.1830569702025
38,404.1,68.71,424.02,20.83,19.49,73.78468381894922
39,560.16,59.98,350.51,35.05,23.69,79.2615941624324
40,389.87,63.12,455.93,33.71,21.15,79.65539099411339
41,296.58,65.98,515.48,30.15,20.27,80.00433236416461
42,614.66,71.6,499.02,31.81,20.51,82.42285043765224
43,460.72,65.3,437.65,40.54,19.11,78.30469666803992
44,535.67,73.66,473.12,26.63,18.52,77.19589812394202
45,452.61,63.08,485.4,38.86,18.0,78.88434355352408
46,555.29,61.89,499.86,31.96,19.98,81.38573133922375
47,317.54,69.15,465.65,41.83,17.83,77.22118401201621
48,588.07,70.26,535.14,30.66,21.44,84.79386780437747
49,470.28,66.92,459.86,26.16,23.12,81.33411196240036
50,472.96,64.18,468.82,20.55,22.58,80.05283273079459
51,392.06,65.71,480.77,28.71,22.2,81.11165234393283
52,427.03,69.68,484.94,29.08,22.29,81.77390660721935
53,384.21,73.73,455.08,32.39,19.91,77.85594483861782
